Query No,Query,Playlist No,Title,No of Videos,Views,Channel,Total Length,Avg Length,Last Upload Date,Playlist Link,Channel Link
1,machine learning,1,Machine Learning for Engineering and Science Applications,107,"6,41,409",NPTEL-NOC IITM,"1 day, 6:26:50",00:18:16,"May 5, 2019",https://www.youtube.com/playlist?list=PLyqSpQzTE6M-SISTunGRBRiZk7opYBf_K,https://www.youtube.com/@nptel-nociitm9240
1,machine learning,2,100 Days of Machine Learning,132,"37,77,192",CampusX,"1 day, 21:09:39",00:27:05,"May 4, 2024",https://www.youtube.com/playlist?list=PLKnIA16_Rmvbr7zKYQuBfsVkjoLcJgxHH,https://www.youtube.com/@campusx-official
1,machine learning,3,MACHINE LEARNING,64,"33,88,124",Trouble- Free,09:43:37,00:09:07,"Oct 20, 2021",https://www.youtube.com/playlist?list=PLmAmHQ-_5ySyQeEryrlomrEvOGNYN3TAL,https://www.youtube.com/@TroubleFreevideos
1,machine learning,4,Machine Learning Tutorial (Hindi) | Machine Learning complete playlist,42,"4,17,295",Er Sahil ka Gyan,03:49:02,00:05:27,"Apr 20, 2023",https://www.youtube.com/playlist?list=PLuAADu3OvBt7-iBQ4qzW4W2Dn-bu-OWax,https://www.youtube.com/@ErSahilkaGyan
1,machine learning,5,Machine Learning,98,"43,98,202",StatQuest with Josh Starmer,"1 day, 3:11:34",00:16:38,"Apr 8, 2024",https://www.youtube.com/playlist?list=PLblh5JKOoLUICTaGLRoHQDuF_7q2GfuJF,https://www.youtube.com/@statquest
1,machine learning,6,Machine Learning,38,"11,29,786",Gate Smashers,04:59:27,00:07:52,"May 10, 2024",https://www.youtube.com/playlist?list=PLxCzCOWd7aiEXg5BV10k9THtjnS48yI-T,https://www.youtube.com/@GateSmashers
1,machine learning,7,Machine Learning Projects,21,"8,52,278",CampusX,"1 day, 6:52:50",01:28:13,"Sep 18, 2022",https://www.youtube.com/playlist?list=PLKnIA16_RmvY5eP91BGPa0vXUYmIdtfPQ,https://www.youtube.com/@campusx-official
1,machine learning,8,Stanford CS229: Machine Learning Full Course taught by Andrew Ng | Autumn 2018,20,"33,66,498",Stanford Online,"1 day, 2:33:12",01:19:39,"Mar 6, 2023",https://www.youtube.com/playlist?list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU,https://www.youtube.com/@stanfordonline
1,machine learning,9,Machine Learning Tutorial Python | Machine Learning For Beginners,42,"38,32,080",codebasics,12:00:43,00:17:09,"Apr 19, 2022",https://www.youtube.com/playlist?list=PLeo1K3hjS3uvCeTYTeyfe0-rN5r8zn9rw,https://www.youtube.com/@codebasics
1,machine learning,10,Machine Learning (ML) Full Explanation| KOE-073 | RCS-080 | ROE-083 | AKTU | UPTU | Unique AppSites,6,"55,579",Unique AppSites,03:10:25,00:31:44,"Jan 8, 2023",https://www.youtube.com/playlist?list=PL_QZS3L94wpfjedMZ6yGzsSCpyzXOFX1A,https://www.youtube.com/@UniqueAppSites
2,deep learning,11,100 Days of Deep Learning,79,"17,88,050",CampusX,"2 days, 0:08:41",00:36:33,"Jun 6, 2024",https://www.youtube.com/playlist?list=PLKnIA16_RmvYuZauWaPlRTC54KxSNLtNn,https://www.youtube.com/@campusx-official
2,deep learning,12,Complete Deep Learning,88,"36,91,346",Krish Naik,"1 day, 6:21:21",00:20:41,"Apr 22, 2022",https://www.youtube.com/playlist?list=PLZoTAELRMXVPGU70ZGsckrMdr0FteeRUi,https://www.youtube.com/@krishnaik06
2,deep learning,13,MIT 6.S191: Introduction to Deep Learning,71,"32,22,152",Alexander Amini,"2 days, 7:16:00",00:46:42,"Jun 16, 2024",https://www.youtube.com/playlist?list=PLtBw6njQRU-rwp5__7C0oIVt26ZgjG9NI,https://www.youtube.com/@AAmini
2,deep learning,14,"Deep Learning With Tensorflow 2.0, Keras and Python",57,"32,53,998",codebasics,17:31:14,00:18:26,"Aug 10, 2023",https://www.youtube.com/playlist?list=PLeo1K3hjS3uu7CxAacxVndI4bE_o3BDtO,https://www.youtube.com/@codebasics
2,deep learning,15,Deep Learning,118,"14,93,948",NPTEL-NOC IITM,22:22:16,00:13:25,"Oct 25, 2018",https://www.youtube.com/playlist?list=PLyqSpQzTE6M9gCgajvQbc68Hk_JKGBAYT,https://www.youtube.com/@nptel-nociitm9240
2,deep learning,16,Deep learning from Scratch | Deep learning Complete Course in Hindi/Urdu | Deep learning Tutorial | Deep learning with Fahad Hussain,61,"3,86,203",Fahad Hussain,15:00:15,00:14:45,"Jun 3, 2020",https://www.youtube.com/playlist?list=PLtCBuHKmdxOdO88sgcFyDdL5ATg1WY-_U,https://www.youtube.com/@FahadHussaintutorial
